id,name,glottocode,year,map_name_full
156,ROTI Bokai,boka1251,traditional,L040b_roti
157,ROTI Dengka-Lelain Dengka,deng1253,traditional,L040b_roti
158,ROTI Dengka-Lelain Lelain,lela1245,traditional,L040b_roti
159,ROTI Korbaffo,korb1237,traditional,L040b_roti
160,ROTI Landu-Ringgou-Oepao Landu,land1257,traditional,L040b_roti
161,ROTI Landu-Ringgou-Oepao Oepao,oepa1237,traditional,L040b_roti
162,ROTI Landu-Ringgou-Oepao Ringgou,nucl1538,traditional,L040b_roti
163,ROTI Oenale-Delha Delha,dela1252,traditional,L040b_roti
164,ROTI Oenale-Delha Oenale,oena1237,traditional,L040b_roti
165,ROTI Termanu-Talae-Keka Keka,keka1234,traditional,L040b_roti
166,ROTI Termanu-Talae-Keka Talae,tala1297,traditional,L040b_roti
167,ROTI Termanu-Talae-Keka Termanu,term1237,traditional,L040b_roti
168,ROTI Thie,tiii1241,traditional,L040b_roti
169,SANGIR Central Tabukang,sang1336,traditional,L043_talaud
170,SANGIR Kandar,sang1336,traditional,L043_talaud
171,SANGIR Manganitu,mang1409,traditional,L043_talaud
172,SANGIR North Tabukang,nort2872,traditional,L043_talaud
173,SANGIR Siau,siau1244,traditional,L043_talaud
174,SANGIR South Tabukang,sout2900,traditional,L043_talaud
175,SANGIR Tagulandang,sang1336,traditional,L043_talaud
176,SANGIR Tamako,tama1333,traditional,L043_talaud
177,SANGIR Taruna,sang1336,traditional,L043_talaud
178,TALAUD Arangka'a,aran1264,traditional,L043_talaud
179,TALAUD Awit,awit1237,traditional,L043_talaud
180,TALAUD Beo,beoo1241,traditional,L043_talaud
181,TALAUD Dapalan,dapa1237,traditional,L043_talaud
182,TALAUD Essang,essa1237,traditional,L043_talaud
183,TALAUD Kaburuang,kabu1255,traditional,L043_talaud
184,TALAUD Lirang,lira1237,traditional,L043_talaud
185,TALAUD South Karakalang,sout2902,traditional,L043_talaud
186,BAJO,,traditional,L044_flores_sea
187,BONERATE,bone1254,traditional,L044_flores_sea
188,KALAOTOA,kala1394,traditional,L044_flores_sea
189,LAYOLO,laiy1246,traditional,L044_flores_sea
190,MAKASSARESE Salayar,sela1260,traditional,L044_flores_sea
191,AMBELAU,ambe1248,traditional,L045a_buru
192,BURU,buru1303,traditional,L045a_buru
193,BUTON,buto1237,traditional,L045a_buru
194,KAYELI,kaye1241,traditional,L045a_buru
195,KEI,keii1239,traditional,L045a_buru
196,SULA,sula1248,traditional,L045a_buru
197,SULA and BUTON,,traditional,L045a_buru
198,SULA and BUTON and BUGIS,,traditional,L045a_buru
199,SULA Face,face1237,traditional,L045a_sula
200,SULA Fagudu,fagu1237,traditional,L045a_sula
201,SULA Falahu,fala1244,traditional,L045a_sula
202,SULA Mangoli,mang1408,traditional,L045a_sula
203,SULA Mixed Sula,sula1248,traditional,L045a_sula
204,TALIABO Kadai,kada1286,traditional,L045a_sula
205,TALIABO Mange,mang1407,traditional,L045a_sula
206,TALIABO Mantarara,tali1262,traditional,L045a_sula
207,TALIABO Other Taliabo Dialects,tali1262,traditional,L045a_sula
208,Banda Malay,band1353,traditional,L045b_banda
209,TEOR-KUR Tior,teor1240,traditional,L045b_watubela
210,WATUBELA,watu1247,traditional,L045b_watubela
