ID,Name,Description,Contributor,Citation,Glottocode,Year,Source,Media_IDs,Type,Map_IDs
219,EAST CAGAYAN NEGRITO,,,,dupa1235,traditional,wurm1981pacific,features,feature,map_1
220,UMIREY DUMAGAT,,,,umir1236,traditional,wurm1981pacific,features,feature,map_1
226,MASBATENO,,,,masb1238,traditional,wurm1981pacific,features,feature,map_1
230,ALBAY BIKOL,,,,alba1269,traditional,wurm1981pacific,features,feature,map_1
232,BOLINAO,,,,boli1256,traditional,wurm1981pacific,features,feature,map_1
237,TAUSUG,,,,taus1251,traditional,wurm1981pacific,features,feature,map_1
238,SAMA SOUTH,,,,sout2918,traditional,wurm1981pacific,features,feature,map_1
239,SAMA CENTRAL,,,,sout2918,traditional,wurm1981pacific,features,feature,map_1
242,SAMA WEST,,,,pang1291,traditional,wurm1981pacific,features,feature,map_1
244,MOLBOG,,,,molb1237,traditional,wurm1981pacific,features,feature,map_1
246,PALAWENO,,,,cent2091,traditional,wurm1981pacific,features,feature,map_1
247,ABORLAN-TAGBANWA,,,,tagb1258,traditional,wurm1981pacific,features,feature,map_1
249,BATAK,,,,bata1301,traditional,wurm1981pacific,features,feature,map_1
251,MON,,,,moni1258,traditional,wurm1981pacific,features,feature,map_1
254,MEO,,,,hmon1337,traditional,wurm1981pacific,features,feature,map_1
255,East Coast Bajau,,,,,traditional,wurm1981pacific,features,feature,map_1
259,KHMER,,,,cent1989,traditional,wurm1981pacific,features,feature,map_1
261,VIET,,,,viet1252,traditional,wurm1981pacific,features,feature,map_1
263,SO,,,,sooo1254,traditional,wurm1981pacific,features,feature,map_1
264,ALAK,,,,alak1253,traditional,wurm1981pacific,features,feature,map_1
265,NGUON,,,,nguo1239,traditional,wurm1981pacific,features,feature,map_1
266,SAEK,,,,saek1240,traditional,wurm1981pacific,features,feature,map_1
267,TUM,,,,toum1239,traditional,wurm1981pacific,features,feature,map_1
269,KUY,,,,kuyy1240,traditional,wurm1981pacific,features,feature,map_1
